"country","debt_id","portfolio_id","collector","comm_target","debt_age","age_bucket","sector","client_name","d_status","paying_accs","new_accs","debt_original_amount"
"Trinidad","6893368.T","103","Krishandai","66315","9.78","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","18101.50"
"Trinidad","6893382.T","103","Krishandai","66315",,"Unknown","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Non-paying","Not New","6705.48"
"Trinidad","6893385.T","103","Krishandai","66315","11.41","Over 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Non-paying","Not New","17216.50"
"Trinidad","6898400.T","103","Krishandai","66315","6.30","5 - 10 yrs","Banking","REPUBLIC BANK (CENTRALISED CREDIT)","","Paying","Not New","92090.88"
"Trinidad","6898675.T","103","Krishandai","66315","6.21","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","16543.10"
"Trinidad","6900035.T","103","Krishandai","66315","10.76","Over 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Non-paying","Not New","7259.35"
"Trinidad","6900078.T","103","Krishandai","66315","9.06","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","6816.36"
"Trinidad","6900474.T","103","Krishandai","66315","7.34","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Judgement","Paying","Not New","27788.20"
"Trinidad","6900882.T","103","Krishandai","66315","11.93","Over 10 yrs","Banking","FIRST CITIZENS BANK (CENTRALISED COLL UNIT)","Active","Non-paying","Not New","11704.70"
"Trinidad","6901221.T","103","Krishandai","66315","10.74","Over 10 yrs","Banking","FIRST CITIZENS BANK (CENTRALISED COLL UNIT)","Active","Non-paying","Not New","12001.50"
"Trinidad","6901352.T","103","Krishandai","66315","7.87","5 - 10 yrs","Banking","FIRST CITIZENS BANK (CENTRALISED COLL UNIT)","Active","Paying","Not New","14803.20"
"Trinidad","6901388.T","103","Krishandai","66315","13.60","Over 10 yrs","Banking","FIRST CITIZENS BANK (CENTRALISED COLL UNIT)","Active","Non-paying","Not New","10295.80"
"Trinidad","6901590.T","103","Krishandai","66315","6.25","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Judgement","Paying","Not New","27248.20"
"Trinidad","6901592.T","103","Krishandai","66315","9.12","5 - 10 yrs","Other","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","3255.08"
"Trinidad","6901691.T","103","Krishandai","66315",,"Unknown","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","8177.07"
"Trinidad","6901767.T","103","Krishandai","66315","10.15","Over 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Non-paying","Not New","12006.10"
"Trinidad","6901851.T","103","Krishandai","66315","8.90","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","5226.10"
"Trinidad","6901890.T","103","Krishandai","66315","11.39","Over 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Non-paying","Not New","10486.70"
"Trinidad","6901892.T","103","Krishandai","66315",,"Unknown","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Non-paying","Not New","8998.49"
"Trinidad","6901948.T","103","Krishandai","66315",,"Unknown","Other","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Non-paying","Not New","2288.89"
"Trinidad","6902070.T","103","Krishandai","66315","7.60","5 - 10 yrs","Banking","RBC ROYAL BANK (RETAIL COLLECTIONS)","Active","Paying","Not New","22017.90"
